Date;dayweek;sales;tempday;tempnight;precipitation
01.12.2025;1;143;2;0;cloud
02.12.2025;2;152;3;0;cloud
03.12.2025;3;148;4;0;cloud
04.12.2025;4;97;6;4;rain
05.12.2025;5;166;7;5;cloud
06.12.2025;6;121;5;0;cloud
07.12.2025;7;111;0;-1;cloud
08.12.2025;1;167;1;-1;cloud
09.12.2025;2;117;6;1;rain
10.12.2025;3;182;7;4;cloud
11.12.2025;4;164;9;6;rain
12.12.2025;5;201;8;-2;rain
13.12.2025;6;337;-2;-6;cloud
14.12.2025;7;420;-1;-4;snow
15.12.2025;1;226;3;-1;snow
16.12.2025;2;256;2;0;snow
17.12.2025;3;199;1;-1;cloud
18.12.2025;4;263;1;-1;cloud
19.12.2025;5;389;-1;-2;cloud
20.12.2025;6;472;1;-2;cloud
21.12.2025;7;436;4;1;cloud
22.12.2025;1;378;3;0;cloud
23.12.2025;2;469;1;-9;snow
24.12.2025;3;311;-5;-9;snow
25.12.2025;4;270;-1;-5;cloud
26.12.2025;5;337;3;-4;snow
27.12.2025;6;345;3;-1;snow
28.12.2025;7;362;1;-3;snow
29.12.2025;1;441;0;-6;snow
30.12.2025;2;696;-3;-8;snow
31.12.2025;3;584;-5;-9;snow
01.01.2026;4;;-8;-21;snow
02.01.2026;5;380;0;-8;snow
03.01.2026;6;392;0;-2;snow
04.01.2026;7;439;-2;-5;snow
05.01.2026;1;444;-4;-12;cloud
06.01.2026;2;384;-4;-13;snow
07.01.2026;3;477;-4;-6;cloud
08.01.2026;4;437;-6;-9;snow
09.01.2026;5;184;-9;-11;snow
10.01.2026;6;342;-10;-19;snow
11.01.2026;7;394;-11;-20;snow
12.01.2026;1;525;-11;-15;snow
13.01.2026;2;515;-8;-12;snow
14.01.2026;3;521;-10;-18;snow
15.01.2026;4;460;-13;-20;Sun
16.01.2026;5;393;-14;-23;Sun
17.01.2026;6;437;-10;-23;Sun
18.01.2026;7;405;-10;-21;snow
19.01.2026;1;311;-9;-22;Sun
20.01.2026;2;226;-6;-21;Sun
21.01.2026;3;147;-4;-21;Sun
22.01.2026;4;231;-11;-16;snow
23.01.2026;5;224;-8;-12;snow
24.01.2026;6;351;-10;-15;snow
25.01.2026;7;481;-1;-18;Sun
26.01.2026;1;570;-4;-15;Sun
27.01.2026;2;459;-1;-4;snow
28.01.2026;3;383;-1;-2;snow
29.01.2026;4;394;-2;-12;snow
30.01.2026;5;401;-11;-16;Sun
31.01.2026;6;372;-12;-17;Sun
01.02.2026;7;195;-14;-21;Sun
02.02.2026;1;129;-14;-29;Sun
03.02.2026;2;207;-9;-24;Sun
04.02.2026;3;188;-11;-21;Sun
05.02.2026;4;346;-7;-14;snow
06.02.2026;5;276;-5;-8;snow
07.02.2026;6;349;-5;-7;snow
08.02.2026;7;263;-5;-12;snow
09.02.2026;1;185;-9;-23;Sun
10.02.2026;2;206;-6;-24;Sun
11.02.2026;3;293;-2;-6;snow
12.02.2026;4;303;1;-2;snow
